Q23	P26	Q191789	17590101	17991201	
Q23	P569	17320222	17320222	17320222	
Q23	P570	17991214	17991214	17991214	
Q24	P569	19660218	19660218	19660218	
Q42	P26	Q14623681	19911101	20010501	
Q42	P569	19520311	19520311	19520311	
Q42	P570	20010511	20010511	20010511	
Q207	P26	Q152019	19771101	19771101	
Q207	P569	19460706	19460706	19460706	
Q297	P569	15990600	15990601	15990601	
Q297	P569	15990606	15990606	15990606	
Q297	P570	16600806	16600806	16600806	
Q326	P569	19420624	19420624	19420624	
Q368	P569	19151125	19151125	19151125	
Q368	P570	20061210	20061210	20061210	
Q377	P569	18820707	18820707	18820707	
Q377	P570	19420628	19420628	19420628	
Q475	P569	19110116	19110116	19110116	
Q475	P570	19820122	19820122	19820122	
Q501	P569	18210409	18210409	18210409	
Q501	P570	18670831	18670831	18670831	
Q530	P569	19560318	19560318	19560318	
Q555	P569	19730401	19730401	19730401	
Q619	P569	14730219	14730219	14730219	
Q619	P570	15430524	15430524	15430524	
Q633	P26	Q3374257	19770801	19770801	
Q633	P569	19451112	19451112	19451112	
Q635	P569	-00681001	-00681001	-00681001	
Q635	P570	-00290810	-00290810	-00290810	
Q747	P569	16060606	16060606	16060606	
Q747	P570	16841001	16841001	16841001	
Q815	P569	18981122	18981122	18981122	
Q815	P570	19800822	19800822	19800822	
Q849	P569	14310401	14310401	14310401	
Q849	P570	14630101	14630101	14630101	
Q849	P570	14640101	14640101	14640101	
Q853	P26	Q1981049	19570401	19700601	
Q853	P26	Q3217941	19570401	19700601	
Q853	P26	Q3217941	19700101	19861201	
Q853	P569	19320404	19320404	19320404	
Q853	P570	19861229	19861229	19861229	
Q859	P569	-04270000	-04270101	-04270101	
Q859	P570	-03470000	-03470101	-03470101	
Q873	P26	Q1271632	19780901	19780901	
Q873	P569	19490622	19490622	19490622	
Q905	P569	18830703	18830703	18830703	
Q905	P570	19240603	19240603	19240603	
Q909	P26	Q5829999	19670901	19700101	
Q909	P26	Q448233	19670901	19700101	
Q909	P26	Q448233	19860501	19860601	
Q909	P569	18990824	18990824	18990824	
Q909	P570	19860614	19860614	19860614	
Q920	P569	19370114	19370114	19370114	
Q920	P570	20121029	20121029	20121029	
Q926	P569	18720716	18720716	18720716	
Q926	P570	19280618	19280618	19280618	
Q937	P26	Q68761	19190101	19361201	
Q937	P26	Q76346	19190101	19361201	
Q937	P26	Q76346	19030101	19190101	
Q937	P108	Q685539	19020101	19090101	
Q937	P108	Q31519	19020101	19090101	
Q937	P108	Q206702	19020101	19090101	
Q937	P108	Q206702	19090101	19090101	
Q937	P108	Q1729754	19020101	19090101	
Q937	P108	Q1729754	19090101	19090101	
Q937	P108	Q11942	19020101	19090101	
Q937	P108	Q11942	19090101	19090101	
Q937	P108	Q708038	19020101	19090101	
Q937	P108	Q708038	19090101	19090101	
Q937	P108	Q21578	19020101	19090101	
Q937	P108	Q21578	19090101	19550101	
Q937	P108	Q21578	19330101	19330101	
Q937	P108	Q152087	19020101	19090101	
Q937	P108	Q152087	19090101	19550101	
Q937	P108	Q152087	19330101	19330101	
Q937	P569	18790314	18790314	18790314	
Q937	P570	19550418	19550418	19550418	
Q946	P569	19570422	19570422	19570422	
Q997	P569	19210521	19210521	19210521	
Q997	P570	19891214	19891214	19891214	
Q1056	P570	19400628	19400628	19400628	
Q1056	P569	18960606	18960606	18960606	
Q1058	P569	19500917	19500917	19500917	
Q1124	P26	Q6294	19751001	19751001	
Q1124	P569	19460819	19460819	19460819	
